==============================================================================
A. CORPUS-WIDE: ids declared by MORE THAN ONE script instance
==============================================================================
total distinct ids in corpus: 1409 ; multi-script ids: 614
  0x0000101B  7 scripts ['2a564884', '2a8b7e1c', '8a554483', 'PLUGIN:12121201', 'PLUGIN:12121205', 'PLUGIN:ca8b8564', 'ca8b8564']  sizes [(82, 18), (82, 20)]
  0x0000101C  9 scripts ['2a564884', '2a8b7e1c', '6a555a84', '8a554483', 'PLUGIN:12121201', 'PLUGIN:12121205', 'PLUGIN:ca8b8564', 'ca8b8564', 'ea8b82db']  sizes [(82, 18), (82, 20)]
  0x0000101D  2 scripts ['6a555a84', 'ea8b82db']  sizes [(52, 18), (82, 18)]
  0x0000101E  2 scripts ['4a8b7fe7', 'aa565036']  sizes [(82, 18)]
  0x0000101F  2 scripts ['4a8b7fe7', 'aa565036']  sizes [(82, 18)]
  0x00001020  2 scripts ['aa554aea', 'ca8b8408']  sizes [(120, 22)]
  0x00001021  2 scripts ['aa554aea', 'ca8b8408']  sizes [(120, 18)]
  0x00001023  2 scripts ['aa554aea', 'ca8b8408']  sizes [(82, 18)]
  0x00001024  2 scripts ['aa554aea', 'ca8b8408']  sizes [(82, 18)]
  0x00001025  2 scripts ['aa554aea', 'ca8b8408']  sizes [(82, 18)]
  0x0000103A  2 scripts ['PLUGIN:ea565970', 'ea565970']  sizes [(120, 22)]
  0x0000103B  2 scripts ['PLUGIN:ea565970', 'ea565970']  sizes [(82, 18)]
  0x0000103C  2 scripts ['PLUGIN:ea565970', 'ea565970']  sizes [(82, 18)]
  0x0000103D  2 scripts ['PLUGIN:ea565970', 'ea565970']  sizes [(82, 18)]
  0x0000103E  2 scripts ['PLUGIN:ea565970', 'ea565970']  sizes [(82, 18)]
  0x0000103F  2 scripts ['PLUGIN:ea565970', 'ea565970']  sizes [(82, 18)]
  0x00001040  2 scripts ['PLUGIN:ea565970', 'ea565970']  sizes [(82, 18)]
  0x00001041  6 scripts ['4a565d13', '4c47800e', '6a566151', 'aa5661eb', 'ac3b72f6', 'cc313f17']  sizes [(120, 22)]
  0x00001042  5 scripts ['4a565d13', '4c47800e', '6a566151', 'aa5661eb', 'ac3b72f6']  sizes [(82, 18)]
