TypeID,GroupID,InstanceID,classification,occurrences,n_files,scaled_files,unscaled_files,twox_available,action,clone_GroupID,clone_InstanceID
0x856DDBAC,0x22DEC92D,0x00003003,UNSCALED,1,1,,T-00000000_G-96a006b0_I-e9a56248.ui,yes,untouched,,
0x856DDBAC,0x22DEC92D,0x00003004,UNSCALED,1,1,,T-00000000_G-96a006b0_I-e9a56248.ui,yes,untouched,,
0x856DDBAC,0x46A006B0,0x0B8C660F,EXCLUSIVE,1,1,T-00000000_G-96a006b0_I-abb0120f.ui,,yes,2x-in-place,,
0x856DDBAC,0x46A006B0,0x0BBA7A64,EXCLUSIVE,2,1,T-00000000_G-96a006b0_I-aa1f1f57.ui,,yes,2x-in-place,,
0x856DDBAC,0x46A006B0,0x0BC6638A,EXCLUSIVE,2,2,T-00000000_G-08000600_I-2bc90671.ui;T-00000000_G-96a006b0_I-2bc90671.ui,,yes,2x-in-place,,
0x856DDBAC,0x46A006B0,0x0C0D45F9,EXCLUSIVE,1,1,T-00000000_G-96a006b0_I-6bb27447.ui,,yes,2x-in-place,,
0x856DDBAC,0x46A006B0,0x0C3A2E71,EXCLUSIVE,1,1,T-00000000_G-96a006b0_I-8c0eaa1b.ui,,yes,2x-in-place,,
0x856DDBAC,0x46A006B0,0x13D14C10,EXCLUSIVE,2,2,T-00000000_G-08000600_I-c973b411.ui;T-00000000_G-96a006b0_I-c973b411.ui,,yes,2x-in-place,,
0x856DDBAC,0x46A006B0,0x13D14C20,EXCLUSIVE,2,2,T-00000000_G-08000600_I-c973b411.ui;T-00000000_G-96a006b0_I-c973b411.ui,,yes,2x-in-place,,
0x856DDBAC,0x46A006B0,0x13D14C30,EXCLUSIVE,2,2,T-00000000_G-08000600_I-c973b411.ui;T-00000000_G-96a006b0_I-c973b411.ui,,yes,2x-in-place,,
0x856DDBAC,0x46A006B0,0x13D14C40,EXCLUSIVE,2,2,T-00000000_G-08000600_I-c973b411.ui;T-00000000_G-96a006b0_I-c973b411.ui,,yes,2x-in-place,,
0x856DDBAC,0x46A006B0,0x13D14C50,EXCLUSIVE,2,2,T-00000000_G-08000600_I-c973b411.ui;T-00000000_G-96a006b0_I-c973b411.ui,,yes,2x-in-place,,
0x856DDBAC,0x46A006B0,0x13D14C60,EXCLUSIVE,2,2,T-00000000_G-08000600_I-c973b411.ui;T-00000000_G-96a006b0_I-c973b411.ui,,yes,2x-in-place,,
0x856DDBAC,0x46A006B0,0x13D14C70,EXCLUSIVE,2,2,T-00000000_G-08000600_I-c973b411.ui;T-00000000_G-96a006b0_I-c973b411.ui,,yes,2x-in-place,,
0x856DDBAC,0x46A006B0,0x13D14C80,EXCLUSIVE,2,2,T-00000000_G-08000600_I-c973b411.ui;T-00000000_G-96a006b0_I-c973b411.ui,,yes,2x-in-place,,
0x856DDBAC,0x46A006B0,0x13D14C90,EXCLUSIVE,2,2,T-00000000_G-08000600_I-c973b411.ui;T-00000000_G-96a006b0_I-c973b411.ui,,yes,2x-in-place,,
0x856DDBAC,0x46A006B0,0x13D14CA0,EXCLUSIVE,13,5,T-00000000_G-08000600_I-c973b411.ui;T-00000000_G-96a006b0_I-aa920991.ui;T-00000000_G-96a006b0_I-abb0120f.ui;T-00000000_G-96a006b0_I-abc0ed33.ui;T-00000000_G-96a006b0_I-c973b411.ui,,yes,2x-in-place,,
0x856DDBAC,0x46A006B0,0x13E14F70,EXCLUSIVE,1,1,T-00000000_G-96a006b0_I-49889894.ui,,yes,2x-in-place,,
0x856DDBAC,0x46A006B0,0x13E14F80,EXCLUSIVE,1,1,T-00000000_G-96a006b0_I-49889894.ui,,yes,2x-in-place,,
0x856DDBAC,0x46A006B0,0x13E14F91,EXCLUSIVE,1,1,T-00000000_G-96a006b0_I-49889894.ui,,yes,2x-in-place,,
0x856DDBAC,0x46A006B0,0x13E14FA0,EXCLUSIVE,2,2,T-00000000_G-96a006b0_I-49889894.ui;T-00000000_G-96a006b0_I-aa920991.ui,,yes,2x-in-place,,
0x856DDBAC,0x46A006B0,0x13E14FB0,EXCLUSIVE,1,1,T-00000000_G-96a006b0_I-49889894.ui,,yes,2x-in-place,,
0x856DDBAC,0x46A006B0,0x13E14FB1,EXCLUSIVE,1,1,T-00000000_G-96a006b0_I-49889894.ui,,yes,2x-in-place,,
0x856DDBAC,0x46A006B0,0x13E14FB2,EXCLUSIVE,1,1,T-00000000_G-96a006b0_I-49889894.ui,,yes,2x-in-place,,
0x856DDBAC,0x46A006B0,0x13E14FB3,EXCLUSIVE,2,2,T-00000000_G-08000600_I-c973b411.ui;T-00000000_G-96a006b0_I-c973b411.ui,,yes,2x-in-place,,
0x856DDBAC,0x46A006B0,0x13E14FB5,EXCLUSIVE,1,1,T-00000000_G-96a006b0_I-49889894.ui,,yes,2x-in-place,,
0x856DDBAC,0x46A006B0,0x13E14FB6,EXCLUSIVE,1,1,T-00000000_G-96a006b0_I-49889894.ui,,yes,2x-in-place,,
0x856DDBAC,0x46A006B0,0x13E14FB7,UNSCALED,3,1,,T-00000000_G-96a006b0_I-ca551016.ui,yes,untouched,,
0x856DDBAC,0x46A006B0,0x13F15211,EXCLUSIVE,8,4,T-00000000_G-08000600_I-aa1f1f57.ui;T-00000000_G-96a006b0_I-4a160034.ui;T-00000000_G-96a006b0_I-aa1f1f57.ui;T-00000000_G-96a006b0_I-cbc905cd.ui,,yes,2x-in-place,,
0x856DDBAC,0x46A006B0,0x13F15213,UNSCALED,1,1,,T-00000000_G-96a006b0_I-6a9455c9.ui,yes,untouched,,
0x856DDBAC,0x46A006B0,0x13F15214,UNSCALED,7,3,,T-00000000_G-96a006b0_I-0bfac164.ui;T-00000000_G-96a006b0_I-6a9455c9.ui;T-00000000_G-96a006b0_I-abfac197.ui,yes,untouched,,
0x856DDBAC,0x46A006B0,0x13F15230,EXCLUSIVE,2,2,T-00000000_G-08000600_I-c973b411.ui;T-00000000_G-96a006b0_I-c973b411.ui,,yes,2x-in-place,,
0x856DDBAC,0x46A006B0,0x13F15240,EXCLUSIVE,1,1,T-00000000_G-96a006b0_I-aa1f1f57.ui,,yes,2x-in-place,,
0x856DDBAC,0x46A006B0,0x13F15241,EXCLUSIVE,1,1,T-00000000_G-96a006b0_I-aa1f1f57.ui,,yes,2x-in-place,,
0x856DDBAC,0x46A006B0,0x13F15245,EXCLUSIVE,2,2,T-00000000_G-08000600_I-aa1f1f57.ui;T-00000000_G-96a006b0_I-aa1f1f57.ui,,yes,2x-in-place,,
0x856DDBAC,0x46A006B0,0x13F15246,EXCLUSIVE,8,1,T-00000000_G-96a006b0_I-aa1f1f57.ui,,yes,2x-in-place,,
0x856DDBAC,0x46A006B0,0x13F15249,EXCLUSIVE,4,2,T-00000000_G-08000600_I-aa1f1f57.ui;T-00000000_G-96a006b0_I-aa1f1f57.ui,,yes,2x-in-place,,
0x856DDBAC,0x46A006B0,0x13F1524A,EXCLUSIVE,2,2,T-00000000_G-08000600_I-aa1f1f57.ui;T-00000000_G-96a006b0_I-aa1f1f57.ui,,yes,2x-in-place,,
0x856DDBAC,0x46A006B0,0x13F1524C,EXCLUSIVE,12,2,T-00000000_G-08000600_I-aa1f1f57.ui;T-00000000_G-96a006b0_I-aa1f1f57.ui,,yes,2x-in-place,,
0x856DDBAC,0x46A006B0,0x13F1524D,EXCLUSIVE,10,2,T-00000000_G-08000600_I-aa1f1f57.ui;T-00000000_G-96a006b0_I-aa1f1f57.ui,,yes,2x-in-place,,
0x856DDBAC,0x46A006B0,0x13F15250,UNSCALED,3,1,,T-00000000_G-96a006b0_I-0a243d80.ui,yes,untouched,,
0x856DDBAC,0x46A006B0,0x13F15251,UNSCALED,1,1,,T-00000000_G-96a006b0_I-0a243d80.ui,yes,untouched,,
0x856DDBAC,0x46A006B0,0x13F15253,UNSCALED,1,1,,T-00000000_G-96a006b0_I-0a243d80.ui,yes,untouched,,
0x856DDBAC,0x46A006B0,0x13F15254,UNSCALED,1,1,,T-00000000_G-96a006b0_I-0a243d80.ui,yes,untouched,,
0x856DDBAC,0x46A006B0,0x13F15255,UNSCALED,1,1,,T-00000000_G-96a006b0_I-0a243d80.ui,yes,untouched,,
0x856DDBAC,0x46A006B0,0x13F15257,UNSCALED,1,1,,T-00000000_G-96a006b0_I-0a243d80.ui,yes,untouched,,
0x856DDBAC,0x46A006B0,0x13F15258,UNSCALED,3,3,,T-00000000_G-96a006b0_I-0a243d80.ui;T-00000000_G-96a006b0_I-4bf325e8.ui;T-00000000_G-96a006b0_I-abfaef15.ui,yes,untouched,,
0x856DDBAC,0x46A006B0,0x13F15259,UNSCALED,3,3,,T-00000000_G-96a006b0_I-0a243d80.ui;T-00000000_G-96a006b0_I-4bf325e8.ui;T-00000000_G-96a006b0_I-abfaef15.ui,yes,untouched,,
0x856DDBAC,0x46A006B0,0x13F1525E,UNSCALED,22,1,,T-00000000_G-96a006b0_I-0a243d80.ui,yes,untouched,,
0x856DDBAC,0x46A006B0,0x13F1525F,UNSCALED,24,3,,T-00000000_G-96a006b0_I-0a243d80.ui;T-00000000_G-96a006b0_I-4bf325e8.ui;T-00000000_G-96a006b0_I-abfaef15.ui,yes,untouched,,
0x856DDBAC,0x46A006B0,0x13F15260,EXCLUSIVE,4,2,T-00000000_G-08000600_I-aa1f1f57.ui;T-00000000_G-96a006b0_I-aa1f1f57.ui,,yes,2x-in-place,,
0x856DDBAC,0x46A006B0,0x13F15261,EXCLUSIVE,1,1,T-00000000_G-96a006b0_I-aa1f1f57.ui,,yes,2x-in-place,,
0x856DDBAC,0x46A006B0,0x13F15262,EXCLUSIVE,1,1,T-00000000_G-96a006b0_I-aa1f1f57.ui,,yes,2x-in-place,,
0x856DDBAC,0x46A006B0,0x13F15263,EXCLUSIVE,6,2,T-00000000_G-08000600_I-aa1f1f57.ui;T-00000000_G-96a006b0_I-aa1f1f57.ui,,yes,2x-in-place,,
0x856DDBAC,0x46A006B0,0x13F15264,EXCLUSIVE,8,2,T-00000000_G-08000600_I-aa1f1f57.ui;T-00000000_G-96a006b0_I-aa1f1f57.ui,,yes,2x-in-place,,
0x856DDBAC,0x46A006B0,0x13F15265,EXCLUSIVE,6,2,T-00000000_G-08000600_I-aa1f1f57.ui;T-00000000_G-96a006b0_I-aa1f1f57.ui,,yes,2x-in-place,,
0x856DDBAC,0x46A006B0,0x13F15266,EXCLUSIVE,10,2,T-00000000_G-08000600_I-aa1f1f57.ui;T-00000000_G-96a006b0_I-aa1f1f57.ui,,yes,2x-in-place,,
0x856DDBAC,0x46A006B0,0x14015541,EXCLUSIVE,10,6,T-00000000_G-08000600_I-2bc90671.ui;T-00000000_G-08000600_I-898897de.ui;T-00000000_G-96a006b0_I-2bc90671.ui;T-00000000_G-96a006b0_I-4a160034.ui;T-00000000_G-96a006b0_I-898897de.ui;T-00000000_G-96a006b0_I-cbc905cd.ui,,yes,2x-in-place,,
0x856DDBAC,0x46A006B0,0x14015542,EXCLUSIVE,4,4,T-00000000_G-08000600_I-2bc90671.ui;T-00000000_G-08000600_I-898897de.ui;T-00000000_G-96a006b0_I-2bc90671.ui;T-00000000_G-96a006b0_I-898897de.ui,,yes,2x-in-place,,
0x856DDBAC,0x46A006B0,0x14015543,EXCLUSIVE,13,7,T-00000000_G-08000600_I-2bc90671.ui;T-00000000_G-08000600_I-898897de.ui;T-00000000_G-96a006b0_I-0b72f276.ui;T-00000000_G-96a006b0_I-2bc9060f.ui;T-00000000_G-96a006b0_I-2bc90671.ui;T-00000000_G-96a006b0_I-898897de.ui;T-00000000_G-96a006b0_I-ea287193.ui,,yes,2x-in-place,,
0x856DDBAC,0x46A006B0,0x14015544,EXCLUSIVE,4,4,T-00000000_G-08000600_I-2bc90671.ui;T-00000000_G-08000600_I-898897de.ui;T-00000000_G-96a006b0_I-2bc90671.ui;T-00000000_G-96a006b0_I-898897de.ui,,yes,2x-in-place,,
0x856DDBAC,0x46A006B0,0x14015545,EXCLUSIVE,11,3,T-00000000_G-08000600_I-2bc90671.ui;T-00000000_G-96a006b0_I-2bc90671.ui;T-00000000_G-96a006b0_I-898897de.ui,,yes,2x-in-place,,
0x856DDBAC,0x46A006B0,0x14015546,EXCLUSIVE,6,4,T-00000000_G-08000600_I-2bc90671.ui;T-00000000_G-08000600_I-898897de.ui;T-00000000_G-96a006b0_I-2bc90671.ui;T-00000000_G-96a006b0_I-898897de.ui,,yes,2x-in-place,,
0x856DDBAC,0x46A006B0,0x14015547,EXCLUSIVE,2,2,T-00000000_G-08000600_I-c973b411.ui;T-00000000_G-96a006b0_I-c973b411.ui,,yes,2x-in-place,,
0x856DDBAC,0x46A006B0,0x14015548,EXCLUSIVE,4,4,T-00000000_G-08000600_I-2bc90671.ui;T-00000000_G-08000600_I-898897de.ui;T-00000000_G-96a006b0_I-2bc90671.ui;T-00000000_G-96a006b0_I-898897de.ui,,yes,2x-in-place,,
0x856DDBAC,0x46A006B0,0x14015549,EXCLUSIVE,4,4,T-00000000_G-08000600_I-2bc90671.ui;T-00000000_G-08000600_I-898897de.ui;T-00000000_G-96a006b0_I-2bc90671.ui;T-00000000_G-96a006b0_I-898897de.ui,,yes,2x-in-place,,
0x856DDBAC,0x46A006B0,0x1401554A,EXCLUSIVE,4,4,T-00000000_G-08000600_I-2bc90671.ui;T-00000000_G-08000600_I-898897de.ui;T-00000000_G-96a006b0_I-2bc90671.ui;T-00000000_G-96a006b0_I-898897de.ui,,yes,2x-in-place,,
