archive : C:\dev\SC4UIScale\tools\selective-safe\z_SC4UIScale_SelectiveArt.dat  (11872511 bytes)
version : DBPF 1.0   index 7.0
dates   : created 0x6A85A445  modified 0x6A85A445
index   : 693 entries @ 0xB4F2DB (13860 bytes)
holes   : 0 @ 0x0 (0 bytes)
DIR     : compression directory absent (all uncompressed)

TypeID     GroupID    InstanceID Offset     Size
0x856DDBAC 0x1ABE787D 0x14416242 0x001D9689 133
0x856DDBAC 0x1ABE787D 0x47026241 0x001D970E 4321
0x856DDBAC 0x1ABE787D 0x6C29491F 0x001DA7EF 2264
0x856DDBAC 0x1ABE787D 0xFA8CDFBF 0x001DB0C7 4076
0x856DDBAC 0x1ABE787D 0xFA8CDFC0 0x001DC0B3 4145
0x856DDBAC 0x1ABE787D 0xFA8CDFC1 0x001DD0E4 4338
0x856DDBAC 0x1ABE787D 0xFA8CDFC2 0x001DE1D6 3959
0x856DDBAC 0x1ABE787D 0xFA8CDFC3 0x001DF14D 4036
0x856DDBAC 0x1ABE787D 0xFA8CDFC4 0x001E0111 4086
0x856DDBAC 0x1ABE787D 0xFA8CDFC5 0x001E1107 4200
0x856DDBAC 0x1ABE787D 0xFA8CDFC6 0x001E216F 4324
0x856DDBAC 0x1ABE787D 0xFA8CDFC7 0x001E3253 4355
0x856DDBAC 0x1ABE787D 0xFA8CDFC8 0x001E4356 4568
0x856DDBAC 0x1ABE787D 0xFA8CDFC9 0x001E552E 3968
0x856DDBAC 0x1ABE787D 0xFA8CDFCA 0x001E64AE 4417
0x856DDBAC 0x1ABE787D 0xFA8CDFCB 0x001E75EF 4466
0x856DDBAC 0x1ABE787D 0xFA8CDFCC 0x001E8761 4384
0x856DDBAC 0x1ABE787D 0xFA8CDFCD 0x001E9881 4005
0x856DDBAC 0x1ABE787D 0xFA8CDFCE 0x001EA826 4164
0x856DDBAC 0x1ABE787D 0xFA8CDFD0 0x001EB86A 3751
0x856DDBAC 0x1ABE787D 0xFA8CDFD1 0x001EC711 3853
0x856DDBAC 0x1ABE787D 0xFA8CDFD2 0x001ED61E 5222
0x856DDBAC 0x46A006B0 0x094AC89A 0x001EEA84 687
0x856DDBAC 0x46A006B0 0x0B8C660F 0x001EED33 180
0x856DDBAC 0x46A006B0 0x0BBA7A64 0x001EEDE7 5386
0x856DDBAC 0x46A006B0 0x0BC6638A 0x001F02F1 958
0x856DDBAC 0x46A006B0 0x0BEB3DBF 0x001F06AF 13642
0x856DDBAC 0x46A006B0 0x0C0729AA 0x001F3BF9 411250
0x856DDBAC 0x46A006B0 0x0C0729AB 0x0025826B 2670
0x856DDBAC 0x46A006B0 0x0C0D45F9 0x00258CD9 14641
0x856DDBAC 0x46A006B0 0x0C30D7CC 0x0025C60A 27908
0x856DDBAC 0x46A006B0 0x0C30D7CD 0x0026330E 28335
0x856DDBAC 0x46A006B0 0x0C30D7CE 0x0026A1BD 26311
0x856DDBAC 0x46A006B0 0x0C3A2E71 0x00270884 5593
0x856DDBAC 0x46A006B0 0x13D14C10 0x00271E5D 3945
0x856DDBAC 0x46A006B0 0x13D14C20 0x00272DC6 2050
0x856DDBAC 0x46A006B0 0x13D14C30 0x002735C8 2737
0x856DDBAC 0x46A006B0 0x13D14C40 0x00274079 3311
0x856DDBAC 0x46A006B0 0x13D14C50 0x00274D68 3848
0x856DDBAC 0x46A006B0 0x13D14C60 0x00275C70 3206
0x856DDBAC 0x46A006B0 0x13D14C70 0x002768F6 3330
0x856DDBAC 0x46A006B0 0x13D14C80 0x002775F8 3330
0x856DDBAC 0x46A006B0 0x13D14C90 0x002782FA 1979
0x856DDBAC 0x46A006B0 0x13D14CA0 0x00278AB5 45070
0x856DDBAC 0x46A006B0 0x13E14F70 0x00283AC3 1168
0x856DDBAC 0x46A006B0 0x13E14F80 0x00283F53 6001
0x856DDBAC 0x46A006B0 0x13E14F91 0x002856C4 8537
0x856DDBAC 0x46A006B0 0x13E14FA0 0x0028781D 4094
0x856DDBAC 0x46A006B0 0x13E14FB0 0x0028881B 5272
0x856DDBAC 0x46A006B0 0x13E14FB1 0x00289CB3 4042
0x856DDBAC 0x46A006B0 0x13E14FB2 0x0028AC7D 3801
0x856DDBAC 0x46A006B0 0x13E14FB3 0x0028BB56 5989
0x856DDBAC 0x46A006B0 0x13E14FB5 0x0028D2BB 6194
0x856DDBAC 0x46A006B0 0x13E14FB6 0x0028EAED 6579
0x856DDBAC 0x46A006B0 0x13E14FB8 0x002904A0 159
0x856DDBAC 0x46A006B0 0x13F15211 0x0029053F 918
0x856DDBAC 0x46A006B0 0x13F15230 0x002908D5 15201
0x856DDBAC 0x46A006B0 0x13F15240 0x00294436 9492
0x856DDBAC 0x46A006B0 0x13F15241 0x0029694A 36557
0x856DDBAC 0x46A006B0 0x13F15245 0x0029F817 4600
0x856DDBAC 0x46A006B0 0x13F15246 0x002A0A0F 2994
0x856DDBAC 0x46A006B0 0x13F15249 0x002A15C1 4798
0x856DDBAC 0x46A006B0 0x13F1524A 0x002A287F 3092
0x856DDBAC 0x46A006B0 0x13F1524C 0x002A3493 4138
0x856DDBAC 0x46A006B0 0x13F1524D 0x002A44BD 695
0x856DDBAC 0x46A006B0 0x13F15260 0x002A4774 4650
0x856DDBAC 0x46A006B0 0x13F15261 0x002A599E 3904
0x856DDBAC 0x46A006B0 0x13F15262 0x002A68DE 15227
0x856DDBAC 0x46A006B0 0x13F15263 0x002AA459 2990
0x856DDBAC 0x46A006B0 0x13F15264 0x002AB007 3267
0x856DDBAC 0x46A006B0 0x13F15265 0x002ABCCA 3171
0x856DDBAC 0x46A006B0 0x13F15266 0x002AC92D 10069
0x856DDBAC 0x46A006B0 0x14015541 0x002AF082 5079
0x856DDBAC 0x46A006B0 0x14015542 0x002B0459 5613
0x856DDBAC 0x46A006B0 0x14015543 0x002B1A46 6085
0x856DDBAC 0x46A006B0 0x14015544 0x002B320B 5512
0x856DDBAC 0x46A006B0 0x14015545 0x002B4793 69354
0x856DDBAC 0x46A006B0 0x14015546 0x002C567D 15068
0x856DDBAC 0x46A006B0 0x14015547 0x002C9159 4809
0x856DDBAC 0x46A006B0 0x14015548 0x002CA422 11288
0x856DDBAC 0x46A006B0 0x14015549 0x002CD03A 1269
0x856DDBAC 0x46A006B0 0x1401554A 0x002CD52F 333
0x856DDBAC 0x46A006B0 0x1401554B 0x002CD67C 407
0x856DDBAC 0x46A006B0 0x1401554C 0x002CD813 3037
0x856DDBAC 0x46A006B0 0x14015550 0x002CE3F0 4716
0x856DDBAC 0x46A006B0 0x14015555 0x002CF65C 17330
0x856DDBAC 0x46A006B0 0x14015556 0x002D3A0E 11990
0x856DDBAC 0x46A006B0 0x14015557 0x002D68E4 3894
0x856DDBAC 0x46A006B0 0x14015558 0x002D781A 486
0x856DDBAC 0x46A006B0 0x14015570 0x002D7A00 9888
0x856DDBAC 0x46A006B0 0x14015571 0x002DA0A0 15295
0x856DDBAC 0x46A006B0 0x14015572 0x002DDC5F 13028
0x856DDBAC 0x46A006B0 0x14015573 0x002E0F43 12389
0x856DDBAC 0x46A006B0 0x14015574 0x002E3FA8 12229
0x856DDBAC 0x46A006B0 0x14015575 0x002E6F6D 16271
0x856DDBAC 0x46A006B0 0x14015576 0x002EAEFC 11857
0x856DDBAC 0x46A006B0 0x14015577 0x002EDD4D 3786
0x856DDBAC 0x46A006B0 0x14015578 0x002EEC17 4167
0x856DDBAC 0x46A006B0 0x14015579 0x002EFC5E 5016
0x856DDBAC 0x46A006B0 0x1401557A 0x002F0FF6 13180
0x856DDBAC 0x46A006B0 0x1401557C 0x002F4372 6109
0x856DDBAC 0x46A006B0 0x14015580 0x002F5B4F 7145
0x856DDBAC 0x46A006B0 0x14015581 0x002F7738 65358
0x856DDBAC 0x46A006B0 0x14015583 0x00307686 5438
0x856DDBAC 0x46A006B0 0x14015584 0x00308BC4 408
0x856DDBAC 0x46A006B0 0x14015585 0x00308D5C 359
0x856DDBAC 0x46A006B0 0x14015590 0x00308EC3 3801
0x856DDBAC 0x46A006B0 0x14015591 0x00309D9C 15037
0x856DDBAC 0x46A006B0 0x14015592 0x0030D859 14038
0x856DDBAC 0x46A006B0 0x14015593 0x00310F2F 1734
0x856DDBAC 0x46A006B0 0x140155B0 0x003115F5 4900
0x856DDBAC 0x46A006B0 0x140155B1 0x00312919 13174
0x856DDBAC 0x46A006B0 0x140155B3 0x00315C8F 3173
0x856DDBAC 0x46A006B0 0x140155B4 0x003168F4 2709
0x856DDBAC 0x46A006B0 0x140155B5 0x00317389 3945
0x856DDBAC 0x46A006B0 0x140155B6 0x003182F2 5300
0x856DDBAC 0x46A006B0 0x140155B7 0x003197A6 4414
0x856DDBAC 0x46A006B0 0x140155B8 0x0031A8E4 443
0x856DDBAC 0x46A006B0 0x140155B9 0x0031AA9F 445
0x856DDBAC 0x46A006B0 0x140155C0 0x0031AC5C 869
0x856DDBAC 0x46A006B0 0x140155C1 0x0031AFC1 683
0x856DDBAC 0x46A006B0 0x140155C2 0x0031B26C 713
0x856DDBAC 0x46A006B0 0x140155C3 0x0031B535 1107
0x856DDBAC 0x46A006B0 0x140155C4 0x0031B988 683
0x856DDBAC 0x46A006B0 0x140155C5 0x0031BC33 711
0x856DDBAC 0x46A006B0 0x140155C6 0x0031BEFA 1102
0x856DDBAC 0x46A006B0 0x140155C7 0x0031C348 997
0x856DDBAC 0x46A006B0 0x140155C8 0x0031C72D 156
0x856DDBAC 0x46A006B0 0x140155C9 0x0031C7C9 9280
