file      : save/Centropolis.sc4
dbpf ver  : 1.0   index 7.0  stride 20
entries   : 175   index@0x101496 size 3500
DIR recs  : 121

TYPE          COUNT     RAWBYTES   sample G/I
0xA990C08E      1          218   299b2d1b/00000000
0xA990C022      1           14   299b2d1b/00000000
0xA990BFE0      1         2035   299b2d1b/00000000
0xA990BD10      1           30   299b2d1b/00000000
0xA98F9D3B      1          635   299b2d1b/00000000
0xA98F9D28      1          443   299b2d1b/00000000
0xA7E7F929      1           38   299b2d1b/00000000
0x89EFA536      1        63967   299b2d1b/00000000
0x89C49986      1           12   299b2d1b/00000000
0x89C48F47      1        12454   299b2d1b/00000000
0x8990C372      1          588   299b2d1b/00000000
0x89D9B9EE      1           26   69d9b9f1/00000000
0x2990C1E5      1           61   299b2d1b/00000000
0xCA027EDB      1         2201   ca027ee1/00000000
0xB9757739      1           10   1fd8dc83/00000001
0x49DD6F4C      1           12   49dd6f4e/00000001
0xA9C8647C      1           38   e9c8647e/00000001
0x8A91E7E0      1         1241   e98f9525/00000002
0x8A91E7E3      1           26   e98f9525/00000003
0xEA3FF4F5      1            4   ea3ff506/ea3ff4f5
0x0B7D45E0      1           18   0b7d45e1/0b7d45e2
0xE86B1EEF      1         1936   e86b1eef/286b1f03
