--- table at 0x00A8E6D0 [.rdata] 19 entries ---
   0x00ACAF2C  0x008C31E0  open
   0x00ACAF34  0x008C2800  popen
   0x00ACAF3C  0x008C28D0  read
   0x00ACAF44  0x008C2DC0  tmpfile
   0x00ACAF4C  0x008C28F0  type
   0x00ACAF54  0x008C2510  write
--- table at 0x00ACAF6C [.rdata] 7 entries ---
   0x00ACAF6C  0x008C32A0  read
   0x00ACAF74  0x008C2E30  lines
   0x00ACAF7C  0x008C3BB0  seek
   0x00ACAF84  0x008C30D0  write
   0x00ACAF8C  0x008C3070  close
   0x00ACAF94  0x008C26A0  __gc
   0x00ACAF9C  0x008C2730  __tostring
--- table at 0x00ACAFEC [.rdata] 10 entries ---
   0x00ACAFEC  0x008C3470  date
   0x00ACAFF4  0x008C34A0  difftime
   0x00ACAFFC  0x008C39C0  execute
   0x00ACB004  0x008C3340  exit
   0x00ACB00C  0x008C3AA0  getenv
   0x00ACB014  0x008C3440  remove
   0x00ACB01C  0x008C3380  rename
   0x00ACB024  0x008C33B0  setlocale
   0x00ACB02C  0x008C3A10  time
   0x00ACB034  0x008C3730  tmpname
--- table at 0x00ACB2D4 [.rdata] 25 entries ---
   0x00ACB2D4  0x0000736F  error
   0x00ACB2DC  0x008C3F00  getmetatable
   0x00ACB2E4  0x008C3F80  setmetatable
   0x00ACB2EC  0x008C3FD0  getfenv
   0x00ACB2F4  0x008C4100  setfenv
   0x00ACB2FC  0x008C4150  next
   0x00ACB304  0x008C4360  ipairs
   0x00ACB30C  0x008C43E0  pairs
   0x00ACB314  0x008C43A0  print
   0x00ACB31C  0x008C3D10  tonumber
   0x00ACB324  0x008C3DD0  tostring
   0x00ACB32C  0x008C46D0  type
   0x00ACB334  0x008C4330  assert
   0x00ACB33C  0x008C4590  unpack
   0x00ACB344  0x008C45E0  rawequal
   0x00ACB34C  0x008C4210  rawget
   0x00ACB354  0x008C4240  rawset
   0x00ACB35C  0x008C4270  pcall
   0x00ACB364  0x008C4630  xpcall
   0x00ACB36C  0x008C4680  collectgarbage
   0x00ACB374  0x008C4300  gcinfo
   0x00ACB37C  0x008C42B0  loadfile
   0x00ACB384  0x008C4510  dofile
   0x00ACB38C  0x008C4550  loadstring
   0x00ACB394  0x008C44B0  require
--- table at 0x00ACB8D4 [.rdata] 12 entries ---
   0x00ACB8D4  0x00210001  nil
   0x00ACB8DC  0x00AC8804  userdata
   0x00ACB8E4  0x00AB2F04  string
   0x00ACB8EC  0x00A9F498  function
   0x00ACB8F4  0x00ACB938  thread
   0x00ACB8FC  0x00AC77E0  __newindex
   0x00ACB904  0x00ACA7EC  __mode
   0x00ACB90C  0x00ACA7E4  __add
   0x00ACB914  0x00ACA7D4  __mul
   0x00ACB91C  0x00ACA7C4  __pow
   0x00ACB924  0x00ACA7B4  __lt
   0x00ACB92C  0x00ACA7A4  __concat
--- table at 0x00ACBE68 [.rdata] 7 entries ---
   0x00ACBE68  0x00ACBF0C  local
   0x00ACBE70  0x00AC880C  not
   0x00ACBE78  0x00ACBF04  repeat
   0x00ACBE80  0x00AA1C20  then
   0x00ACBE88  0x00AAEDD4  until
   0x00ACBE90  0x00ACBEEC  *name
   0x00ACBE98  0x00ABF638  ...
--- table at 0x00AEC0E4 [.rdata] 8 entries ---
   0x00AEC0E4  0x00415355  britain
   0x00AEC0EC  0x00524247  china
   0x00AEC0F4  0x004E4843  czech
   0x00AEC0FC  0x00455A43  england
   0x00AEC104  0x00524247  great britain
   0x00AEC10C  0x00524247  holland
   0x00AEC114  0x00444C4E  hong-kong
   0x00AEC11C  0x00474B48  new-zealand
--- table at 0x00AEC12C [.rdata] 9 entries ---
   0x00AEC12C  0x004C5A4E  pr china
   0x00AEC134  0x004E4843  pr-china
   0x00AEC13C  0x004E4843  puerto-rico
   0x00AEC144  0x00495250  slovak
   0x00AEC14C  0x004B5653  south africa
   0x00AEC154  0x0046415A  south korea
   0x00AEC15C  0x00524F4B  south-africa
   0x00AEC164  0x0046415A  south-korea
   0x00AEC16C  0x00524F4B  trinidad & tobago
--- table at 0x00AEC194 [.rdata] 62 entries ---
   0x00AEC194  0x00415355  american
   0x00AEC19C  0x00554E45  american english
   0x00AEC1A4  0x00554E45  american-english
   0x00AEC1AC  0x00554E45  australian
   0x00AEC1B4  0x00414E45  belgian
   0x00AEC1BC  0x00424C4E  canadian
   0x00AEC1C4  0x00434E45  chh
   0x00AEC1CC  0x0048485A  chi
   0x00AEC1D4  0x0049485A  chinese
   0x00AEC1DC  0x00534843  chinese-hongkong
   0x00AEC1E4  0x0048485A  chinese-simplified
   0x00AEC1EC  0x00534843  chinese-singapore
   0x00AEC1F4  0x0049485A  chinese-traditional
   0x00AEC1FC  0x00544843  dutch-belgian
   0x00AEC204  0x00424C4E  english-american
   0x00AEC20C  0x00554E45  english-aus
   0x00AEC214  0x00414E45  english-belize
   0x00AEC21C  0x004C4E45  english-can
   0x00AEC224  0x00434E45  english-caribbean
   0x00AEC22C  0x00424E45  english-ire
   0x00AEC234  0x00494E45  english-jamaica
   0x00AEC23C  0x004A4E45  english-nz
   0x00AEC244  0x005A4E45  english-south africa
   0x00AEC24C  0x00534E45  english-trinidad y tobago
   0x00AEC254  0x00544E45  english-uk
   0x00AEC25C  0x00474E45  english-us
   0x00AEC264  0x00554E45  english-usa
   0x00AEC26C  0x00554E45  french-belgian
   0x00AEC274  0x00425246  french-canadian
   0x00AEC27C  0x00435246  french-luxembourg
   0x00AEC284  0x004C5246  french-swiss
   0x00AEC28C  0x00535246  german-austrian
   0x00AEC294  0x00414544  german-lichtenstein
   0x00AEC29C  0x00434544  german-luxembourg
